stock,start_date,end_date,yield,volatility,idiosyncratic_volatility
000703.SZ,2020/6/30,2020/9/30,84.3961,42.7711,0.0228
000708.SZ,2019/9/30,2019/12/31,339.9072,40.9735,0.0252
000708.SZ,2019/12/31,2020/3/31,46.3948,55.5137,0.0279
000708.SZ,2020/3/31,2020/6/30,95.9255,34.9905,0.0220
000708.SZ,2020/6/30,2020/9/30,-6.7019,35.7251,0.0199
000710.SZ,2019/9/30,2019/12/31,97.6494,31.5524,0.0187
000710.SZ,2019/12/31,2020/3/31,2.6615,52.6866,0.0286
000710.SZ,2020/3/31,2020/6/30,736.6682,61.8364,0.0384
000710.SZ,2020/6/30,2020/9/30,-32.5063,65.297,0.0402
000718.SZ,2019/9/30,2019/12/31,12.5038,21.6847,0.0117
000718.SZ,2019/12/31,2020/3/31,-62.4255,35.2754,0.0124
000718.SZ,2020/3/31,2020/6/30,47.9649,19.7395,0.0118
000718.SZ,2020/6/30,2020/9/30,8.7764,37.4384,0.0183
000719.SZ,2019/9/30,2019/12/31,0.5651,13.8219,0.0064
000719.SZ,2019/12/31,2020/3/31,-26.4813,47.5112,0.0198
000719.SZ,2020/3/31,2020/6/30,19.4027,17.0307,0.0093
000719.SZ,2020/6/30,2020/9/30,64.9962,25.6995,0.0104
000723.SZ,2019/9/30,2019/12/31,6.2169,38.5456,0.0211
000723.SZ,2019/12/31,2020/3/31,-79.6422,58.7565,0.0282
000723.SZ,2020/3/31,2020/6/30,-22.7467,35.4453,0.0202
000723.SZ,2020/6/30,2020/9/30,-11.9731,42.8875,0.0209
000725.SZ,2019/9/30,2019/12/31,113.8518,33.0167,0.0184
000725.SZ,2019/12/31,2020/3/31,-58.2768,56.6379,0.0250
000725.SZ,2020/3/31,2020/6/30,146.72,42.1807,0.0232
000725.SZ,2020/6/30,2020/9/30,26.4496,45.3261,0.0194
000726.SZ,2019/9/30,2019/12/31,-3.8699,10.2827,0.0047
000726.SZ,2019/12/31,2020/3/31,-20.8434,30.3023,0.0129
000726.SZ,2020/3/31,2020/6/30,-40.9058,18.2829,0.0104
000726.SZ,2020/6/30,2020/9/30,-13.6305,21.1786,0.0085
000728.SZ,2019/9/30,2019/12/31,36.847,20.1186,0.0085
000728.SZ,2019/12/31,2020/3/31,-37.864,52.3946,0.0211
